iter	Passed	Remaining
0	84	84161
1	86	43161
2	89	29674
3	91	22856
4	94	18726
5	96	15967
6	98	13981
7	100	12494
8	103	11359
9	105	10431
10	107	9650
11	109	8997
12	111	8440
13	113	7967
14	115	7560
15	117	7207
16	119	6895
17	121	6619
18	123	6362
19	125	6133
20	127	5921
21	128	5731
22	131	5567
23	133	5419
24	135	5288
25	138	5172
26	140	5057
27	142	4940
28	144	4831
29	146	4727
30	148	4628
31	150	4543
32	152	4454
33	153	4373
34	155	4296
35	157	4225
36	159	4156
37	161	4091
38	163	4026
39	166	3997
40	168	3946
41	171	3910
42	173	3860
43	175	3811
44	177	3763
45	179	3721
46	181	3676
47	183	3633
48	185	3590
49	187	3556
50	189	3532
51	191	3494
52	193	3460
53	195	3426
54	197	3393
55	199	3360
56	201	3328
57	203	3302
58	206	3301
59	211	3308
60	216	3339
61	221	3344
62	223	3324
63	228	3339
64	231	3335
65	235	3335
66	238	3323
67	242	3316
68	245	3314
69	247	3289
70	249	3264
71	251	3242
72	253	3217
73	255	3192
74	257	3175
75	260	3161
76	261	3140
77	263	3119
78	265	3098
79	267	3076
80	269	3055
81	270	3033
82	272	3012
83	286	3127
84	288	3105
85	290	3091
86	292	3071
87	294	3051
88	296	3031
89	297	3011
90	299	2992
91	301	2973
92	303	2955
93	304	2937
94	307	2930
95	309	2913
96	311	2895
97	312	2879
98	314	2864
99	316	2848
100	318	2832
101	319	2817
102	322	2807
103	324	2794
104	326	2781
105	327	2765
106	329	2750
107	331	2736
108	333	2722
109	334	2708
110	336	2694
111	338	2685
112	340	2672
113	342	2659
114	343	2645
115	345	2632
116	347	2619
117	348	2606
118	350	2594
119	352	2582
120	354	2574
121	356	2562
122	357	2550
123	359	2539
124	361	2529
125	363	2518
126	364	2507
127	366	2496
128	368	2485
129	370	2480
130	372	2469
131	374	2459
132	375	2448
133	377	2438
134	379	2428
135	381	2425
136	383	2418
137	386	2413
138	388	2404
139	390	2395
140	391	2385
141	393	2377
142	395	2368
143	396	2359
144	398	2350
145	400	2343
146	404	2348
147	406	2340
148	408	2334
149	410	2326
150	412	2318
151	414	2309
152	415	2301
153	418	2300
154	420	2293
155	422	2286
156	424	2278
157	425	2269
158	427	2261
159	429	2252
160	430	2243
161	432	2235
162	434	2230
163	436	2222
164	437	2214
165	439	2207
166	441	2199
167	442	2191
168	444	2184
169	445	2177
170	447	2169
171	449	2164
172	451	2157
173	452	2150
174	454	2143
175	456	2136
176	457	2129
177	459	2122
178	461	2115
179	462	2109
180	464	2103
181	466	2096
182	468	2089
183	469	2082
184	471	2076
185	472	2069
186	474	2063
187	476	2056
188	477	2050
189	479	2043
190	481	2039
191	483	2033
192	484	2026
193	486	2020
194	488	2014
195	489	2008
196	491	2002
197	492	1996
198	494	1990
199	496	1986
200	498	1980
201	499	1975
202	501	1969
203	503	1963
204	504	1957
205	506	1952
206	508	1946
207	509	1940
208	511	1935
209	513	1933
210	515	1928
211	517	1923
212	519	1918
213	521	1913
214	522	1908
215	524	1903
216	525	1897
217	527	1893
218	529	1889
219	531	1884
220	533	1879
221	534	1874
222	536	1869
223	538	1864
224	539	1859
225	541	1854
226	543	1849
227	544	1845
228	546	1840
229	548	1835
230	549	1830
231	551	1825
232	553	1821
233	554	1816
234	556	1811
235	558	1806
236	559	1802
237	561	1798
238	563	1793
239	565	1789
240	566	1784
241	568	1779
242	569	1775
243	571	1770
244	572	1765
245	574	1761
246	576	1757
247	578	1753
248	579	1748
249	582	1746
250	584	1743
251	585	1738
252	587	1734
253	589	1730
254	591	1727
255	593	1724
256	594	1719
257	596	1715
258	598	1711
259	599	1707
260	601	1703
261	603	1701
262	605	1697
263	607	1694
264	609	1691
265	611	1687
266	613	1684
267	615	1680
268	616	1676
269	618	1672
270	619	1667
271	621	1663
272	623	1660
273	625	1657
274	626	1652
275	628	1648
276	629	1643
277	631	1639
278	632	1635
279	634	1630
280	635	1626
281	637	1622
282	639	1620
283	641	1616
284	642	1611
285	644	1607
286	645	1603
287	647	1599
288	648	1595
289	650	1591
290	651	1587
291	653	1583
292	654	1580
293	656	1576
294	657	1572
295	659	1568
296	661	1564
297	662	1561
298	664	1556
299	665	1552
300	667	1549
301	668	1545
302	670	1542
303	672	1538
304	673	1535
305	675	1531
306	676	1527
307	678	1523
308	679	1519
309	681	1516
310	682	1512
311	684	1508
312	686	1505
313	687	1502
314	689	1498
315	690	1495
316	692	1491
317	693	1487
318	695	1483
319	696	1480
320	698	1476
321	699	1473
322	701	1470
323	703	1467
324	705	1464
325	706	1461
326	708	1458
327	710	1454
328	711	1451
329	713	1447
330	714	1444
331	716	1440
332	717	1437
333	719	1434
334	721	1431
335	722	1428
336	724	1425
337	726	1422
